"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4957","Open HomePage and verify title","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:17 BST 2024","Home","home.spec.ts","",""
"","5068","Access Downloads","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:17 BST 2024","My Account","account.spec.ts","",""
"","5249","Access Downloads","Mobile Chrome","Thu Oct 03 15:49:29 BST 2024","passed","Thu Oct 03 15:49:34 BST 2024","My Account","account.spec.ts","",""
"","6086","Fill contact form and verify success message","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:19 BST 2024","Contact page","contact.spec.ts","",""
"","4586","Verify Recent Posts count and check that the minimum character length of each post item is > 10","Mobile Chrome","Thu Oct 03 15:49:29 BST 2024","passed","Thu Oct 03 15:49:34 BST 2024","Blog page","blog.spec.ts","",""
"","3237","get started link","Mobile Chrome","Thu Oct 03 15:49:30 BST 2024","passed","Thu Oct 03 15:49:33 BST 2024","","example.spec.ts","",""
"","5911","Should upload testimage.jpg file","chromium","Wed Oct 09 15:23:17 BST 2024","passed","Wed Oct 09 15:23:23 BST 2024","Upload File","upload.spec.ts","",""
"","5484","Should upload testimage.jpg file","Mobile Chrome","Thu Oct 03 15:49:34 BST 2024","passed","Thu Oct 03 15:49:40 BST 2024","Upload File","upload.spec.ts","",""
"","4301","Verify login and register is available","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:17 BST 2024","My Account > Account Page","account.spec.ts","",""
"","6619","Open AboutPage and verify title","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:19 BST 2024","Home","home.spec.ts","",""
"","4818","Click get started button using CSS selector","Mobile Chrome","Thu Oct 03 15:49:32 BST 2024","passed","Thu Oct 03 15:49:37 BST 2024","Home","home.spec.ts","",""
"","7406","Fill contact form and verify success message","Mobile Chrome","Thu Oct 03 15:49:30 BST 2024","passed","Thu Oct 03 15:49:37 BST 2024","Contact page","contact.spec.ts","",""
"","1819","has title","Mobile Chrome","Thu Oct 03 15:49:30 BST 2024","passed","Thu Oct 03 15:49:32 BST 2024","","example.spec.ts","",""
"","6230","Open AboutPage and verify title","Mobile Chrome","Thu Oct 03 15:49:33 BST 2024","passed","Thu Oct 03 15:49:40 BST 2024","Home","home.spec.ts","",""
"","5924","Should upload a test file on a hidden input field","chromium","Wed Oct 09 15:23:18 BST 2024","passed","Wed Oct 09 15:23:24 BST 2024","Upload File","upload.spec.ts","",""
"","4805","Verify heading text is visible using text selector","Mobile Chrome","Thu Oct 03 15:49:33 BST 2024","passed","Thu Oct 03 15:49:38 BST 2024","Home","home.spec.ts","",""
"","4027","Verify heading text is visible using text selector","chromium","Wed Oct 09 15:23:14 BST 2024","passed","Wed Oct 09 15:23:18 BST 2024","Home","home.spec.ts","",""
"","5211","Access Orders","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:17 BST 2024","My Account","account.spec.ts","",""
"","4728","Verify Recent Posts count and check that the minimum character length of each post item is > 10","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:17 BST 2024","Blog page","blog.spec.ts","",""
"","1216","get started link","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:14 BST 2024","","example.spec.ts","",""
"","4237","Verify login and register is available","Mobile Chrome","Thu Oct 03 15:49:29 BST 2024","passed","Thu Oct 03 15:49:33 BST 2024","My Account > Account Page","account.spec.ts","",""
"","6291","Should upload 10mbfile.jpg file","Mobile Chrome","Thu Oct 03 15:49:38 BST 2024","passed","Thu Oct 03 15:49:44 BST 2024","Upload File","upload.spec.ts","",""
"","5070","Click get started button using CSS selector","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:17 BST 2024","Home","home.spec.ts","",""
"","4120","Verify the text of all nav links","Mobile Chrome","Thu Oct 03 15:49:34 BST 2024","passed","Thu Oct 03 15:49:38 BST 2024","Home","home.spec.ts","",""
"","4333","Verify search icon is visible using xpath selector","chromium","Wed Oct 09 15:23:17 BST 2024","passed","Wed Oct 09 15:23:21 BST 2024","Home","home.spec.ts","",""
"","4187","Verify the text of all nav links","chromium","Wed Oct 09 15:23:17 BST 2024","passed","Wed Oct 09 15:23:22 BST 2024","Home","home.spec.ts","",""
"","5465","Access Orders","Mobile Chrome","Thu Oct 03 15:49:28 BST 2024","passed","Thu Oct 03 15:49:33 BST 2024","My Account","account.spec.ts","",""
"","3861","Verify home link is enabled using text and CSS selector","chromium","Wed Oct 09 15:23:14 BST 2024","passed","Wed Oct 09 15:23:18 BST 2024","Home","home.spec.ts","",""
"","30218","Should upload a test file on a hidden input field","Mobile Chrome","Thu Oct 03 15:49:37 BST 2024","broken","Thu Oct 03 15:50:07 BST 2024","Upload File","upload.spec.ts","",""
"","6850","Should upload 10mbfile.jpg file","chromium","Wed Oct 09 15:23:18 BST 2024","passed","Wed Oct 09 15:23:24 BST 2024","Upload File","upload.spec.ts","",""
"","9257","Verify search icon is visible using xpath selector","Mobile Chrome","Thu Oct 03 15:49:34 BST 2024","failed","Thu Oct 03 15:49:43 BST 2024","Home","home.spec.ts","",""
"","5407","Open HomePage and verify title","Mobile Chrome","Thu Oct 03 15:49:32 BST 2024","passed","Thu Oct 03 15:49:38 BST 2024","Home","home.spec.ts","",""
"","958","has title","chromium","Wed Oct 09 15:23:12 BST 2024","passed","Wed Oct 09 15:23:13 BST 2024","","example.spec.ts","",""
"","4621","Verify home link is enabled using text and CSS selector","Mobile Chrome","Thu Oct 03 15:49:34 BST 2024","passed","Thu Oct 03 15:49:38 BST 2024","Home","home.spec.ts","",""
